index,filename,avg_dna_damage_foci/glia_+,avg_dna_damage_foci/glia_+_damage_+,avg_dna_damage_foci/all_nuclei,avg_dna_damage_foci/all_nuclei_damage_+,nr_+_dna_damage_glia_nuclei,nr_-_dna_damage_glia_nuclei,nr_glia_+_nuclei,nr_total_nuclei,%_dna_damage_signal,%_glia+_signal,tissue_location,staining_id,animal_id,sex,genotype,dna_damage_stain_quality_manual,glia_stain_quality_auto,dna_damage_stain_quality_auto,staining_qc_passed
72,DSB Iba1 28_40X_DG,1.8823529411764703,2.2857142857142856,2.855140186915888,3.1015228426395938,14,3,17,214,4.607105255126953,7.0148468017578125,DG,28,1887,male,APP/PS1 x Neil3 KO,good,optimal,optimal,True
73,DSB Iba1 29_40X_CA1,1.5714285714285714,1.8333333333333333,0.8416666666666667,1.2625,6,1,7,120,0.8039474487304688,2.208709716796875,CA1,29,1891,female,APP/PS1 x Neil3 KO,good,optimal,optimal,True
74,DSB Iba1 29_40X_CA3,1.0,1.3333333333333333,0.6851851851851852,1.4509803921568627,3,1,4,108,0.6873130798339844,1.9129753112792969,CA3,29,1891,female,APP/PS1 x Neil3 KO,good,optimal,optimal,True
75,DSB Iba1 29_40X_CTX1,1.1875,1.7272727272727273,0.896551724137931,1.5,11,5,16,174,0.9842872619628906,5.022335052490234,CTX1,29,1891,female,APP/PS1 x Neil3 KO,good,optimal,optimal,True
76,DSB Iba1 29_40X_CTX2,1.3478260869565215,1.9375,1.2598870056497176,1.7421875,16,7,23,177,1.365375518798828,7.678985595703125,CTX2,29,1891,female,APP/PS1 x Neil3 KO,good,optimal,optimal,True
77,DSB Iba1 29_40X_CTX3,0.8181818181818182,1.0,0.6209150326797386,1.2837837837837838,9,2,11,153,0.4662513732910156,3.7689208984375,CTX3,29,1891,female,APP/PS1 x Neil3 KO,good,optimal,optimal,True
78,DSB Iba1 29_40X_DG,1.375,1.5714285714285714,1.2704918032786885,1.6145833333333333,7,1,8,244,2.083301544189453,2.2146224975585938,DG,29,1891,female,APP/PS1 x Neil3 KO,good,optimal,optimal,True
79,DSB Iba1 30_40X_CA1,0.0,,0.6698113207547169,1.392156862745098,0,6,6,106,0.4213333129882812,1.6625404357910156,CA1,30,2041,female,APP/PS1,good,optimal,optimal,True
80,DSB Iba1 30_40X_CA3,1.2,2.0,0.9,1.6,3,2,5,80,0.7200241088867188,1.3019561767578125,CA3,30,2041,female,APP/PS1,good,optimal,optimal,True
81,DSB Iba1 30_40X_CTX1,1.1176470588235294,2.111111111111111,0.5245901639344263,1.2307692307692308,9,8,17,183,0.4976272583007812,2.780723571777344,CTX1,30,2041,female,APP/PS1,good,optimal,optimal,True
82,DSB Iba1 30_40X_CTX2,0.625,1.6666666666666667,0.6267942583732058,1.323232323232323,6,10,16,209,0.5642890930175781,2.3637771606445312,CTX2,30,2041,female,APP/PS1,good,optimal,optimal,True
83,DSB Iba1 30_40X_CTX3,0.9166666666666666,1.8333333333333333,0.4055555555555555,1.4038461538461535,6,6,12,180,0.2711296081542969,1.4829635620117188,CTX3,30,2041,female,APP/PS1,good,optimal,optimal,True
84,DSB Iba1 30_40X_DG,1.25,1.6666666666666667,1.3018018018018018,1.864516129032258,3,1,4,222,1.5737533569335938,2.1762847900390625,DG,30,2041,female,APP/PS1,good,optimal,optimal,True
85,DSB Iba1 31_40X_CA1,0.5714285714285714,1.0,1.1,1.5052631578947369,4,3,7,130,0.908184051513672,3.847122192382813,CA1,31,2042,male,APP/PS1,good,optimal,optimal,True
86,DSB Iba1 31_40X_CA3,,,1.00625,1.4504504504504503,0,0,0,160,1.42059326171875,1.217937469482422,CA3,31,2042,male,APP/PS1,good,optimal,optimal,True
87,DSB Iba1 31_40X_CTX1,0.6666666666666666,2.0,0.509090909090909,1.2,4,8,12,165,0.45013427734375,3.5140037536621094,CTX1,31,2042,male,APP/PS1,good,optimal,optimal,True
88,DSB Iba1 31_40X_CTX2,0.625,1.25,0.6698113207547169,1.3027522935779816,8,8,16,211,0.5597114562988281,2.959632873535156,CTX2,31,2042,male,APP/PS1,good,optimal,optimal,True
89,DSB Iba1 31_40X_CTX3,0.8888888888888888,1.6,0.983739837398374,1.635135135135135,5,4,9,123,0.7208824157714844,3.2898902893066406,CTX3,31,2042,male,APP/PS1,good,optimal,optimal,True
