index,filename,avg_dna_damage_foci/glia_+,avg_dna_damage_foci/glia_+_damage_+,avg_dna_damage_foci/all_nuclei,avg_dna_damage_foci/all_nuclei_damage_+,nr_+_dna_damage_glia_nuclei,nr_-_dna_damage_glia_nuclei,nr_glia_+_nuclei,nr_total_nuclei,%_dna_damage_signal,%_glia+_signal,tissue_location,staining_id,animal_id,sex,genotype,dna_damage_stain_quality_manual,glia_stain_quality_auto,dna_damage_stain_quality_auto,staining_qc_passed
145,DSB Iba1 41_40X_DG,1.0,1.0,1.2656826568265682,1.6333333333333333,5,0,5,271,2.2176742553710938,0.9260177612304688,DG,41,1995,female,APP/PS1 x Neil3 KO,good,optimal,optimal,True
146,DSB Iba1 42_40X_CA1,1.0,1.0,0.4031007751937984,1.1063829787234043,1,0,1,129,0.5374908447265625,0.5733489990234375,CA1,42,2008,female,APP/PS1,good,optimal,optimal,True
147,DSB Iba1 42_40X_CA3,1.0,2.0,0.7411764705882353,1.2857142857142858,1,1,2,85,0.6807327270507812,0.9168624877929688,CA3,42,2008,female,APP/PS1,good,optimal,optimal,True
148,DSB Iba1 42_40X_CTX1,0.625,1.6666666666666667,0.5083798882681564,1.1518987341772151,3,5,8,179,0.4649162292480469,0.74462890625,CTX1,42,2008,female,APP/PS1,good,optimal,optimal,True
149,DSB Iba1 42_40X_CTX2,0.6923076923076923,1.2857142857142858,0.5273972602739726,1.203125,7,6,13,146,0.4080772399902344,1.824378967285156,CTX2,42,2008,female,APP/PS1,good,optimal,optimal,True
150,DSB Iba1 42_40X_CTX3,0.5,1.0,0.6492537313432836,1.2083333333333333,2,2,4,134,0.6461143493652344,0.9996414184570312,CTX3,42,2008,female,APP/PS1,good,optimal,optimal,True
151,DSB Iba1 42_40X_DG,1.25,1.6666666666666667,0.8767772511848341,1.4453125,3,1,4,211,1.3035774230957031,0.988483428955078,DG,42,2008,female,APP/PS1,good,optimal,optimal,True
162,DSB Iba1 45_40X_CA1,1.0909090909090908,1.5,2.306451612903226,2.7766990291262137,8,3,11,124,1.8074989318847656,6.223964691162109,CA1,45,1887,male,APP/PS1 x Neil3 KO,good,optimal,optimal,True
163,DSB Iba1 45_40X_CA3,0.6,1.0,1.592,2.518987341772152,3,2,5,125,1.5021324157714844,5.231571197509766,CA3,45,1887,male,APP/PS1 x Neil3 KO,good,optimal,optimal,True
164,DSB Iba1 45_40X_CTX1,0.631578947368421,1.3333333333333333,0.601010101010101,1.4,9,10,19,198,0.8280754089355469,4.201602935791016,CTX1,45,1887,male,APP/PS1 x Neil3 KO,good,optimal,optimal,True
165,DSB Iba1 45_40X_CTX2,0.8,1.6666666666666667,0.4680851063829787,1.2571428571428571,12,13,25,188,0.4374504089355469,4.376411437988281,CTX2,45,1887,male,APP/PS1 x Neil3 KO,good,optimal,optimal,True
