index,filename,avg_dna_damage_foci/glia_+,avg_dna_damage_foci/glia_+_damage_+,avg_dna_damage_foci/all_nuclei,avg_dna_damage_foci/all_nuclei_damage_+,nr_+_dna_damage_glia_nuclei,nr_-_dna_damage_glia_nuclei,nr_glia_+_nuclei,nr_total_nuclei,%_dna_damage_signal,%_glia+_signal,tissue_location,staining_id,animal_id,sex,genotype,dna_damage_stain_quality_manual,manual_qc,glia_stain_quality_auto,dna_damage_stain_quality_auto,staining_qc_passed
59,DSB GFAP 21_40X_DG,0.25,1.0,0.8204334365325078,1.2679425837320577,1,3,4,322,1.5184402465820312,1.9483566284179688,DG,21,2014,male,APP/PS1,good,passed,optimal,optimal,True
60,DSB GFAP 22_40X_CA1,0.3333333333333333,1.0,0.6594202898550725,1.2638888888888888,1,2,3,138,0.7335662841796875,0.9831428527832032,CA1,22,2041,female,APP/PS1,good,passed,optimal,optimal,True
61,DSB GFAP 22_40X_CA3,5.0,5.0,1.1830065359477124,1.6306306306306306,1,0,1,153,2.7846336364746094,0.3539085388183594,CA3,22,2041,female,APP/PS1,good,passed,optimal,optimal,True
62,DSB GFAP 22_40X_CTX1,1.6666666666666667,2.5,1.4489795918367347,1.844155844155844,2,1,3,196,2.1643638610839844,2.0880699157714844,CTX1,22,2041,female,APP/PS1,good,passed,optimal,optimal,True
63,DSB GFAP 22_40X_CTX2,0.6666666666666666,1.0,1.0360824742268042,1.5112781954887218,2,1,3,194,1.5821456909179688,1.8810272216796875,CTX2,22,2041,female,APP/PS1,good,passed,optimal,optimal,True
64,DSB GFAP 22_40X_CTX3,,,0.8407079646017699,1.52,0,0,0,226,1.638031005859375,0.3844261169433594,CTX3,22,2041,female,APP/PS1,good,passed,optimal,optimal,True
65,DSB GFAP 22_40X_DG,0.0,,1.1266666666666667,1.5294117647058822,0,2,2,300,2.515220642089844,0.8734703063964844,DG,22,2041,female,APP/PS1,good,passed,optimal,optimal,True
66,DSB GFAP 23_40X_DG,4.411764705882353,4.411764705882353,4.758333333333334,4.784916201117318,17,0,17,360,36.93695068359375,4.239940643310547,DG,23,231,male,APP/PS1 x Neil3 KO,good,passed,optimal,suboptimal,False
67,DSB GFAP 24_40X_CA1,4.0,4.0,1.0930232558139534,1.6987951807228916,1,0,1,129,1.094818115234375,1.505279541015625,CA1,24,1891,female,APP/PS1 x Neil3 KO,good,passed,optimal,optimal,True
68,DSB GFAP 24_40X_CA3,0.7777777777777778,1.1666666666666667,1.4224137931034482,2.0121951219512195,6,3,9,116,1.3640403747558594,2.0681381225585938,CA3,24,1891,female,APP/PS1 x Neil3 KO,good,passed,optimal,optimal,True
69,DSB GFAP 24_40X_CTX1,3.0,3.6666666666666665,1.7316017316017316,2.23463687150838,9,2,11,231,2.5224685668945312,3.82843017578125,CTX1,24,1891,female,APP/PS1 x Neil3 KO,good,passed,optimal,optimal,True
70,DSB GFAP 24_40X_CTX2,0.7272727272727273,2.0,1.267605633802817,1.875,4,7,11,213,1.9336700439453125,3.2064437866210938,CTX2,24,1891,female,APP/PS1 x Neil3 KO,good,passed,optimal,optimal,True
71,DSB GFAP 24_40X_CTX3,0.875,1.4,1.0894736842105264,1.6693548387096775,5,3,8,189,1.740741729736328,3.1861305236816406,CTX3,24,1891,female,APP/PS1 x Neil3 KO,good,passed,optimal,optimal,True
72,DSB GFAP 24_40X_DG,2.0,2.3157894736842106,1.9147286821705427,2.09915014164306,19,3,22,386,5.225944519042969,5.126953125,DG,24,1891,female,APP/PS1 x Neil3 KO,good,passed,optimal,optimal,True
73,DSB GFAP 25_40X_CA1,3.0,3.0,6.848,7.133333333333334,3,0,3,125,5.470180511474609,0.8317947387695312,CA1,25,1996,female,APP/PS1 x Neil3 KO,good,passed,optimal,optimal,True
74,DSB GFAP 25_40X_CA3,2.5,2.5,4.905027932960894,5.289156626506024,2,0,2,179,6.773090362548828,0.3442764282226562,CA3,25,1996,female,APP/PS1 x Neil3 KO,good,passed,optimal,optimal,True
75,DSB GFAP 25_40X_CTX1,3.6666666666666665,3.6666666666666665,1.9337016574585637,2.592592592592593,3,0,3,181,2.414131164550781,1.49383544921875,CTX1,25,1996,female,APP/PS1 x Neil3 KO,good,passed,optimal,optimal,True
76,DSB GFAP 25_40X_CTX2,1.0,1.0,1.4456521739130437,2.180327868852459,1,0,1,184,1.7686843872070312,0.7261276245117188,CTX2,25,1996,female,APP/PS1 x Neil3 KO,good,passed,optimal,optimal,True
77,DSB GFAP 25_40X_CTX3,2.1875,2.5,1.7841726618705036,2.5306122448979598,14,2,16,139,1.78070068359375,4.564571380615234,CTX3,25,1996,female,APP/PS1 x Neil3 KO,good,passed,optimal,optimal,True
78,DSB GFAP 25_40X_DG,8.0,8.0,5.455421686746988,5.549019607843137,4,0,4,415,20.24402618408203,1.4879226684570312,DG,25,1996,female,APP/PS1 x Neil3 KO,good,passed,optimal,optimal,True
79,DSB GFAP 26_40X_CA1,5.571428571428571,5.571428571428571,4.854651162790698,5.0606060606060606,21,0,21,172,14.440250396728516,3.69863510131836,CA1,26,885,male,APP/PS1,good,passed,optimal,optimal,False
80,DSB GFAP 26_40X_CA3,2.5,5.0,4.630331753554502,5.4581005586592175,2,2,4,211,7.38372802734375,1.3578414916992188,CA3,26,885,male,APP/PS1,good,passed,optimal,optimal,False
81,DSB GFAP 26_40X_CTX1,5.0,5.0,3.7880794701986753,4.284644194756554,4,0,4,302,26.21393203735352,1.4318466186523438,CTX1,26,885,male,APP/PS1,good,passed,optimal,suboptimal,False
82,DSB GFAP 26_40X_CTX2,4.0,4.0,4.397540983606557,4.489539748953975,7,0,7,244,30.07392883300781,1.8035888671875,CTX2,26,885,male,APP/PS1,good,passed,optimal,suboptimal,False
83,DSB GFAP 26_40X_CTX3,4.4,4.4,3.462151394422311,4.218446601941747,5,0,5,251,8.24432373046875,2.21853256225586,CTX3,26,885,male,APP/PS1,good,passed,optimal,optimal,False
84,DSB GFAP 26_40X_DG,5.583333333333333,6.7,4.210355987055016,4.279605263157895,10,2,12,307,27.46410369873047,3.647041320800781,DG,26,885,male,APP/PS1,good,passed,optimal,suboptimal,False
85,DSB GFAP 27_40X_CA1,2.6,2.888888888888889,4.526315789473684,4.961538461538462,9,1,10,114,3.8155555725097656,2.697372436523437,CA1,27,2012,male,APP/PS1,good,passed,optimal,optimal,True
86,DSB GFAP 27_40X_CA3,3.684210526315789,3.888888888888889,4.119402985074627,4.56198347107438,18,1,19,134,7.3589324951171875,5.297756195068359,CA3,27,2012,male,APP/PS1,good,passed,optimal,optimal,True
87,DSB GFAP 27_40X_CTX1,1.3529411764705883,1.5333333333333334,1.777327935222672,2.1004784688995217,15,2,17,247,4.123401641845703,5.693149566650391,CTX1,27,2012,male,APP/PS1,good,passed,optimal,optimal,True
88,DSB GFAP 27_40X_CTX2,1.6666666666666667,2.2222222222222223,1.7417840375586855,2.12,9,3,12,213,4.000186920166016,4.554557800292969,CTX2,27,2012,male,APP/PS1,good,passed,optimal,optimal,True
89,DSB GFAP 27_40X_CTX3,1.0,1.25,1.2681159420289856,2.0348837209302326,4,1,5,138,1.3370513916015625,1.7201423645019531,CTX3,27,2012,male,APP/PS1,good,passed,optimal,optimal,True
90,DSB GFAP 27_40X_DG,4.266666666666667,4.266666666666667,4.283018867924528,4.389502762430939,15,0,15,371,11.725902557373049,5.479145050048828,DG,27,2012,male,APP/PS1,good,passed,optimal,optimal,True
91,DSB GFAP 28_40X_CA1,6.166666666666667,6.166666666666667,4.327956989247312,5.062893081761007,6,0,6,186,4.043960571289063,2.07509994506836,CA1,28,892,female,APP/PS1,good,passed,optimal,optimal,True
92,DSB GFAP 28_40X_CA3,3.0,3.0,3.860215053763441,4.325301204819277,6,0,6,186,3.91998291015625,2.755355834960937,CA3,28,892,female,APP/PS1,good,passed,optimal,optimal,True
93,DSB GFAP 28_40X_CTX1,,,0.912442396313364,2.0625,0,0,0,217,0.84381103515625,0.01983642578125,CTX1,28,892,female,APP/PS1,good,passed,optimal,optimal,True
94,DSB GFAP 28_40X_DG,2.0,2.857142857142857,2.6759776536312847,3.080385852090032,7,3,10,355,5.2371978759765625,4.433155059814453,DG,28,892,female,APP/PS1,good,passed,optimal,optimal,True
