index,filename,avg_dna_damage_foci/glia_+,avg_dna_damage_foci/glia_+_damage_+,avg_dna_damage_foci/all_nuclei,avg_dna_damage_foci/all_nuclei_damage_+,nr_+_dna_damage_glia_nuclei,nr_-_dna_damage_glia_nuclei,nr_glia_+_nuclei,nr_total_nuclei,%_dna_damage_signal,%_glia+_signal,tissue_location,staining_id,animal_id,sex,genotype,dna_damage_stain_quality_manual,manual_qc,glia_stain_quality_auto,dna_damage_stain_quality_auto,staining_qc_passed
61,DSB Iba1 26_40X_CA3,1.1666666666666667,1.1666666666666667,0.45,1.125,6,0,6,40,0.4375457763671875,7.835769653320312,CA3,26,231,male,APP/PS1 x Neil3 KO,poor,failed,optimal,optimal,True
62,DSB Iba1 26_40X_CTX1,0.55,1.2222222222222223,0.4782608695652174,1.2622950819672132,9,11,20,161,0.81024169921875,10.195541381835938,CTX1,26,231,male,APP/PS1 x Neil3 KO,poor,failed,optimal,optimal,True
63,DSB Iba1 26_40X_CTX2,0.4166666666666667,1.1111111111111112,0.3273809523809524,1.25,9,15,24,168,0.482177734375,11.652374267578123,CTX2,26,231,male,APP/PS1 x Neil3 KO,poor,failed,optimal,optimal,True
64,DSB Iba1 26_40X_CTX3,0.6666666666666666,1.6363636363636365,0.5579710144927537,1.3275862068965518,11,16,27,138,0.7335662841796875,13.019180297851562,CTX3,26,231,male,APP/PS1 x Neil3 KO,poor,failed,optimal,optimal,True
65,DSB Iba1 26_40X_DG,0.5,2.0,0.3548387096774194,1.2222222222222223,2,6,8,93,0.4869461059570312,6.388187408447266,DG,26,231,male,APP/PS1 x Neil3 KO,poor,failed,optimal,optimal,True
66,DSB Iba1 27_40X_DG,0.6666666666666666,2.0,0.9797979797979798,1.7017543859649122,2,4,6,99,0.9477615356445312,1.4883995056152344,DG,27,147,female,APP/PS1,poor,passed,optimal,optimal,True
67,DSB Iba1 28_40X_CA1,0.0,,0.7142857142857143,1.2037037037037035,0,2,2,91,0.469970703125,3.449249267578125,CA1,28,1887,male,APP/PS1 x Neil3 KO,good,passed,optimal,optimal,True
68,DSB Iba1 28_40X_CA3,0.0,,0.4096385542168674,1.2142857142857142,0,6,6,83,0.3864288330078125,3.35540771484375,CA3,28,1887,male,APP/PS1 x Neil3 KO,good,passed,optimal,optimal,True
69,DSB Iba1 28_40X_CTX1,0.1666666666666666,1.0,0.3255813953488372,1.0,1,5,6,129,0.5664825439453125,3.679656982421875,CTX1,28,1887,male,APP/PS1 x Neil3 KO,good,passed,optimal,optimal,True
70,DSB Iba1 28_40X_CTX2,0.625,1.6666666666666667,0.4700854700854701,1.25,6,10,16,233,0.22430419921875,2.886199951171875,CTX2,28,1887,male,APP/PS1 x Neil3 KO,good,passed,optimal,optimal,True
71,DSB Iba1 28_40X_CTX3,0.8181818181818182,1.125,0.788135593220339,1.3676470588235294,8,3,11,236,0.3245353698730469,2.651691436767578,CTX3,28,1887,male,APP/PS1 x Neil3 KO,good,passed,optimal,optimal,True
72,DSB Iba1 28_40X_DG,1.6666666666666667,1.9230769230769231,1.6771653543307086,1.9722222222222223,13,2,15,254,1.7148971557617188,7.055473327636719,DG,28,1887,male,APP/PS1 x Neil3 KO,good,passed,optimal,optimal,True
73,DSB Iba1 29_40X_CA1,1.2222222222222223,1.5714285714285714,0.5878378378378378,1.1756756756756757,7,2,9,148,0.3452301025390625,2.779674530029297,CA1,29,1891,female,APP/PS1 x Neil3 KO,good,passed,optimal,optimal,True
74,DSB Iba1 29_40X_CA3,1.0,1.25,0.5234375,1.2407407407407407,4,1,5,128,0.3023147583007812,2.412891387939453,CA3,29,1891,female,APP/PS1 x Neil3 KO,good,passed,optimal,optimal,True
75,DSB Iba1 29_40X_CTX1,0.9473684210526316,1.6363636363636365,0.4953271028037383,1.1910112359550562,11,8,19,214,0.3643989562988281,5.408287048339844,CTX1,29,1891,female,APP/PS1 x Neil3 KO,good,passed,optimal,optimal,True
76,DSB Iba1 29_40X_CTX2,1.0769230769230769,1.5555555555555556,0.8125,1.352,18,8,26,208,0.551605224609375,7.705116271972656,CTX2,29,1891,female,APP/PS1 x Neil3 KO,good,passed,optimal,optimal,True
77,DSB Iba1 29_40X_CTX3,0.6875,1.2222222222222223,0.4450261780104712,1.1971830985915493,9,7,16,191,0.197601318359375,4.044151306152344,CTX3,29,1891,female,APP/PS1 x Neil3 KO,good,passed,optimal,optimal,True
78,DSB Iba1 29_40X_DG,1.2,1.5,0.8356164383561644,1.3118279569892473,4,1,5,292,0.8409500122070312,2.4045944213867188,DG,29,1891,female,APP/PS1 x Neil3 KO,good,passed,optimal,optimal,True
79,DSB Iba1 30_40X_CA1,0.0,,0.4740740740740741,1.2549019607843137,0,7,7,135,0.1756668090820312,2.1002769470214844,CA1,30,2041,female,APP/PS1,good,passed,optimal,optimal,True
80,DSB Iba1 30_40X_CA3,0.6,1.5,0.6982758620689655,1.4727272727272729,2,3,5,116,0.3167152404785156,1.6602516174316406,CA3,30,2041,female,APP/PS1,good,passed,optimal,optimal,True
81,DSB Iba1 30_40X_CTX1,0.6190476190476191,1.625,0.3442622950819672,1.0909090909090908,8,13,21,244,0.2023696899414062,2.8333663940429688,CTX1,30,2041,female,APP/PS1,good,passed,optimal,optimal,True
82,DSB Iba1 30_40X_CTX2,0.4117647058823529,1.75,0.3962264150943396,1.206896551724138,4,13,17,265,0.2282142639160156,2.132797241210937,CTX2,30,2041,female,APP/PS1,good,passed,optimal,optimal,True
83,DSB Iba1 30_40X_CTX3,0.6153846153846154,1.3333333333333333,0.2608695652173913,1.125,6,7,13,207,0.1043319702148437,1.5857696533203125,CTX3,30,2041,female,APP/PS1,good,passed,optimal,optimal,True
84,DSB Iba1 30_40X_DG,0.2,1.0,0.7785467128027682,1.347305389221557,1,4,5,289,0.5678176879882812,2.596664428710937,DG,30,2041,female,APP/PS1,good,passed,optimal,optimal,True
85,DSB Iba1 31_40X_CA1,1.181818181818182,1.8571428571428568,0.7245508982035929,1.3010752688172045,7,4,11,167,0.3924369812011719,4.217052459716797,CA1,31,2042,male,APP/PS1,good,passed,optimal,optimal,True
86,DSB Iba1 31_40X_CA3,0.3333333333333333,1.0,0.8195121951219512,1.3658536585365857,1,2,3,205,0.6452560424804688,1.6805648803710938,CA3,31,2042,male,APP/PS1,good,passed,optimal,optimal,True
87,DSB Iba1 31_40X_CTX1,0.4666666666666667,1.4,0.3318181818181818,1.0579710144927537,5,10,15,220,0.1832008361816406,3.8913726806640634,CTX1,31,2042,male,APP/PS1,good,passed,optimal,optimal,True
