filename,avg_dna_damage_foci/glia_+,avg_dna_damage_foci/glia_+_damage_+,avg_dna_damage_foci/all_nuclei,avg_dna_damage_foci/all_nuclei_damage_+,nr_+_dna_damage_glia_nuclei,nr_+_dna_damage_all_nuclei,nr_-_dna_damage_glia_nuclei,nr_glia_+_nuclei,nr_total_nuclei,%_dna_damage_signal,%_glia+_signal,damage_load_ratio_glia_+_cells,damage_load_ratio_all_cells
DSB Iba1 106_40X_CTX2,0.6,1.0,0.6479591836734694,1.27,3,100,2,5,196,1.137542724609375,0.7717132568359375,0.6,0.5102040816326531
DSB Iba1 106_40X_CTX3,1.3,1.8571428571428572,0.9433962264150944,1.5789473684210527,7,95,3,10,159,1.3241767883300781,0.7843017578125,0.7,0.5974842767295597
DSB Iba1 106_40X_DG,0.5,1.3333333333333333,1.0833333333333333,1.5260869565217392,3,230,5,8,323,2.854442596435547,1.5664100646972656,0.375,0.7120743034055728
DSB Iba1 107_40X_CA1,0.8571428571428571,1.5,0.7114093959731543,1.325,4,80,3,7,149,1.4398574829101562,2.02789306640625,0.5714285714285714,0.5369127516778524
DSB Iba1 107_40X_CA3,0.75,1.2,0.9206349206349206,1.4871794871794872,5,78,3,8,126,1.4561653137207031,2.191638946533203,0.625,0.6190476190476191
DSB Iba1 107_40X_CTX1,0.8928571428571429,1.5625,0.577922077922078,1.2191780821917808,16,73,12,28,154,1.1278152465820312,2.447032928466797,0.5714285714285714,0.474025974025974
DSB Iba1 107_40X_CTX2,1.2,1.6,1.0289855072463767,1.4489795918367347,15,147,5,20,207,2.0461082458496094,2.1589279174804688,0.75,0.7101449275362319
DSB Iba1 107_40X_CTX3,0.8666666666666667,1.3,0.7531380753138075,1.313868613138686,10,137,5,15,239,1.746368408203125,1.2478828430175781,0.6666666666666666,0.5732217573221757
DSB Iba1 107_40X_DG,0.9333333333333333,1.5555555555555556,1.2686567164179106,1.5625,9,272,6,15,333,3.9226531982421875,2.3932456970214844,0.6,0.8168168168168168
DSB Iba1 108_40X_CA1,0.6666666666666666,2.0,0.6598639455782312,1.2125,1,80,2,3,147,1.2656211853027344,0.8889198303222656,0.3333333333333333,0.54421768707483
DSB Iba1 108_40X_CA3,1.4,1.75,1.054054054054054,1.8870967741935485,4,62,1,5,111,1.3545036315917969,1.9009590148925781,0.8,0.5585585585585585
DSB Iba1 108_40X_CTX1,0.6428571428571429,1.125,0.5063291139240507,1.2307692307692308,8,65,6,14,158,0.7935523986816406,1.8342018127441406,0.5714285714285714,0.41139240506329117
