index,filename,avg_dna_damage_foci/glia_+,avg_dna_damage_foci/glia_+_damage_+,avg_dna_damage_foci/all_nuclei,avg_dna_damage_foci/all_nuclei_damage_+,nr_+_dna_damage_glia_nuclei,nr_+_dna_damage_all_nuclei,nr_-_dna_damage_glia_nuclei,nr_glia_+_nuclei,nr_total_nuclei,%_dna_damage_signal,%_glia+_signal,damage_load_ratio_glia_+_cells,damage_load_ratio_all_cells,tissue_location,staining_id,animal_id,sex,genotype,dna_damage_stain_quality_manual,manual_qc,glia_stain_quality_auto,dna_damage_stain_quality_auto,staining_qc_passed
54,DSB Iba1 17_40X_CA3,1.3157894736842106,1.9230769230769231,3.6174863387978142,4.762589928057554,13,139,6,19,183,5.110073089599609,6.432056427001953,0.6842105263157895,0.7595628415300546,CA3,17,892,female,APP/PS1,poor,failed,optimal,optimal,False
55,DSB Iba1 17_40X_CTX1,2.411764705882353,2.9285714285714284,1.2769230769230768,2.141935483870968,14,155,3,17,260,1.3278961181640625,2.645301818847656,0.8235294117647058,0.5961538461538461,CTX1,17,892,female,APP/PS1,poor,failed,optimal,optimal,False
56,DSB Iba1 17_40X_CTX2,2.8461538461538463,2.9019607843137254,2.552980132450331,2.6404109589041096,51,292,1,52,302,29.74271774291992,11.802101135253906,0.9807692307692308,0.9668874172185432,CTX2,17,892,female,APP/PS1,poor,failed,optimal,optimal,False
57,DSB Iba1 17_40X_CTX3,2.6296296296296298,2.6296296296296298,2.8944444444444444,3.196319018404908,27,163,0,27,180,18.192768096923828,9.359455108642578,1.0,0.9055555555555556,CTX3,17,892,female,APP/PS1,poor,failed,optimal,optimal,False
58,DSB Iba1 17_40X_DG,3.12751677852349,3.352517985611511,2.543560606060606,2.971238938053097,139,452,10,149,525,5.62286376953125,44.40708160400391,0.9328859060402684,0.8609523809523809,DG,17,892,female,APP/PS1,poor,failed,suboptimal,optimal,False
59,DSB Iba1 18_40X_CA1,1.3571428571428572,1.3571428571428572,2.5347222222222223,2.5347222222222223,14,144,0,14,144,71.99668884277344,10.935688018798828,1.0,1.0,CA1,18,231,male,APP/PS1 x Neil3 KO,poor,failed,optimal,suboptimal,False
60,DSB Iba1 18_40X_CA3,1.9166666666666667,1.9166666666666667,4.074074074074074,4.11214953271028,12,107,0,12,108,36.4354133605957,7.825183868408203,1.0,0.9907407407407408,CA3,18,231,male,APP/PS1 x Neil3 KO,poor,failed,optimal,suboptimal,False
61,DSB Iba1 18_40X_CTX1,1.8421052631578947,2.6923076923076925,1.88,2.858108108108108,13,148,6,19,225,3.354072570800781,3.196430206298828,0.6842105263157895,0.6577777777777778,CTX1,18,231,male,APP/PS1 x Neil3 KO,poor,failed,optimal,optimal,False
62,DSB Iba1 18_40X_CTX2,3.2,3.2,3.7294117647058815,3.865853658536585,20,246,0,20,255,40.91596603393555,5.939960479736328,1.0,0.9647058823529412,CTX2,18,231,male,APP/PS1 x Neil3 KO,poor,failed,optimal,suboptimal,False
63,DSB Iba1 18_40X_CTX3,3.0588235294117645,3.466666666666667,2.5789473684210527,3.392307692307692,15,130,2,17,171,18.92385482788086,1.9624710083007808,0.8823529411764706,0.7602339181286549,CTX3,18,231,male,APP/PS1 x Neil3 KO,poor,failed,optimal,optimal,False
